매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,시간대1,시간대2,시간대3,시간대4,시간대5,분기_1,분기_2,분기_3,점포수,총 상주인구 수,총 가구 수,총_직장인구_수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,시간대_생활인구_수,평일_생활인구_평균,주말_생활인구_평균,집객시설_수,배후지_아파트_단지_수,배후지_아파트_가격_1_억_미만_세대_수,배후지_아파트_가격_1_억_세대_수,배후지_아파트_가격_2_억_세대_수,배후지_아파트_가격_3_억_세대_수,배후지_아파트_가격_4_억_세대_수,배후지_아파트_가격_5_억_세대_수,배후지_아파트_가격_6_억_이상_세대_수,시간대_버스_승하차승객수
125163.1502,2020,골목상권,2110949,한남IC,1,0,0,0,0,1,0,0,6,618,300,1683,5,0,5,17,8,10,7,65,79731,59187.6,50294.0,2,57.0,5.0,259.0,163.0,64.0,52.0,42.0,1802.0,0
94688.22344,2020,골목상권,2110951,신사은행나무공원,1,0,0,0,0,1,0,0,3,1039,580,273,16,5,76,41,9,5,3,22,129649,88341.2,70153.0,2,108.0,11.0,436.0,309.0,119.0,81.0,68.0,109.0,0
177736.4615,2020,골목상권,2110952,논현목련공원,1,0,0,0,0,1,0,0,3,879,583,117,27,1,131,89,23,8,2,3,70687,33995.8,32963.0,2,173.0,24.0,780.0,964.0,124.0,151.0,82.0,138.0,0
34587.75458,2020,골목상권,2110954,국기원,1,0,0,0,0,1,0,0,3,497,335,636,3,0,28,2,3,0,0,1,51576,78936.8,72891.0,3,52.0,6.0,285.0,226.0,67.0,49.0,50.0,68.0,0
221061.4832,2020,골목상권,2110955,논현초등학교,1,0,0,0,0,1,0,0,30,7080,4369,3430,175,41,975,495,132,140,68,107,749107,412995.0,387342.5,10,398.0,76.0,2312.0,1553.0,325.0,262.0,204.0,286.0,0
156661.2839,2020,골목상권,2110957,언북중학교,1,0,0,0,0,1,0,0,6,1816,1116,1251,51,1,145,166,105,44,40,31,186377,155200.2,100676.0,8,93.0,11.0,262.0,566.0,128.0,51.0,84.0,193.0,0
114302.1758,2020,골목상권,2110958,역삼역 4번,1,0,0,0,0,1,0,0,3,858,528,994,29,6,161,60,19,6,27,11,71759,78058.2,43665.5,9,121.0,26.0,741.0,493.0,157.0,86.0,50.0,36.0,0
36192.9011,2020,골목상권,2110959,신구중학교,1,0,0,0,0,1,0,0,3,365,166,271,2,0,0,0,0,0,26,56,20245,18472.0,14550.0,8,57.0,9.0,90.0,59.0,58.0,47.0,122.0,395.0,0
83584.97436,2020,골목상권,2110960,은광여고,1,0,0,0,0,1,0,0,3,719,417,1522,16,22,125,28,4,23,3,34,30420,17848.4,15351.0,4,89.0,49.0,549.0,384.0,94.0,179.0,50.0,700.0,0
119836.2601,2020,골목상권,2110961,언주역 3번,1,0,0,0,0,1,0,0,6,2169,1298,962,52,0,217,168,85,41,19,82,153989,120047.0,91289.0,3,182.0,23.0,870.0,832.0,197.0,156.0,114.0,936.0,0
38957.30037,2020,골목상권,2110963,역삼월드메르디앙아파트,1,0,0,0,0,1,0,0,3,1724,847,780,43,3,184,115,87,10,30,114,125142,62384.6,56115.0,1,176.0,56.0,774.0,784.0,339.0,191.0,133.0,1148.0,0
117776.2543,2020,골목상권,2110965,언주역 6번,1,0,0,0,0,1,0,0,7,2309,1512,1139,64,26,366,202,48,44,7,1,168558,122421.4,96468.0,2,217.0,58.0,1311.0,770.0,228.0,113.0,63.0,398.0,0
73069.81868,2020,골목상권,2110966,논현2동주민센터,1,0,0,0,0,1,0,0,6,2887,1539,1637,60,28,154,199,70,147,192,53,365530,341298.6,237948.5,9,99.0,32.0,241.0,295.0,117.0,171.0,234.0,1417.0,0
282864.2442,2020,골목상권,2110967,역삼역 8번,1,0,0,0,0,1,0,0,9,1307,877,377,32,7,213,85,43,8,17,6,135009,100603.2,73712.5,7,197.0,56.0,1256.0,699.0,222.0,112.0,54.0,23.0,0
380182.884,2020,골목상권,2110971,선정릉역 4번,1,0,0,0,0,1,0,0,9,3836,2425,1542,130,41,815,550,128,40,27,36,207050,127388.6,101139.0,7,332.0,90.0,1823.0,1232.0,398.0,213.0,137.0,559.0,0
12249.52747,2020,골목상권,2110972,강남세브란스병원미래의학연구센터,1,0,0,0,0,1,0,0,3,1995,1013,2628,56,2,250,123,180,62,11,2,67624,33195.6,30721.0,2,201.0,43.0,860.0,616.0,432.0,243.0,105.0,1194.0,0
123777.8022,2020,골목상권,2110974,언주중학교,1,0,0,0,0,1,0,0,6,1479,770,292,57,6,206,166,43,19,10,85,186263,106913.6,95530.0,2,203.0,32.0,803.0,609.0,178.0,84.0,42.0,1744.0,0
84833.38828,2020,골목상권,2110975,매봉역 1번,1,0,0,0,0,1,0,0,6,944,361,10837,25,2,22,46,17,9,24,130,56700,41178.2,39197.5,11,60.0,38.0,56.0,62.0,44.0,36.0,50.0,1721.0,9097
45202.32967,2020,골목상권,2110976,언북초등학교,1,0,0,0,0,1,0,0,6,2011,1046,578,52,0,99,133,75,92,46,31,166711,112431.6,100433.0,2,123.0,22.0,360.0,242.0,345.0,197.0,124.0,1557.0,0
45050.42002,2020,골목상권,2110977,논현로18길,1,0,0,0,0,1,0,0,9,707,335,148,14,3,35,56,14,0,0,0,32101,19525.2,16803.5,0,192.0,63.0,578.0,709.0,455.0,36.0,50.0,20.0,0
60238.17216,2020,골목상권,2110980,개포지구대옆,1,0,0,0,0,1,0,0,3,2707,1114,663,75,14,155,238,188,20,49,15,164104,94194.0,83731.0,2,199.0,53.0,564.0,688.0,394.0,72.0,58.0,445.0,0
111115.7399,2020,골목상권,2110981,국악고교사거리,1,0,0,0,0,1,0,0,9,2105,876,361,52,14,128,232,153,12,4,0,147995,75600.8,73144.5,7,301.0,87.0,1056.0,1138.0,657.0,93.0,29.0,4.0,495
107218.8132,2020,골목상권,2110983,국립국악고등학교,1,0,0,0,0,1,0,0,3,2836,1257,783,65,10,190,223,121,44,9,5,142178,76496.4,73060.0,4,232.0,55.0,660.0,823.0,528.0,68.0,48.0,74.0,0
68735.03755,2020,골목상권,2110984,포이초등학교(개포목련어린이공원),1,0,0,0,0,1,0,0,12,4522,1948,1556,107,30,399,353,203,44,16,34,326912,138894.4,135025.0,14,246.0,56.0,864.0,884.0,564.0,117.0,32.0,198.0,199
198378.8095,2020,골목상권,2110985,청담근린공원,1,0,0,0,0,1,0,0,3,980,472,1338,27,0,21,42,45,27,6,98,69924,47036.8,41559.5,1,71.0,0.0,34.0,160.0,103.0,60.0,74.0,1718.0,0
52457.19414,2020,골목상권,2110988,청담역 3번,1,0,0,0,0,1,0,0,3,1340,480,1594,19,0,0,4,5,19,12,305,36951,28663.2,27452.5,5,51.0,2.0,43.0,114.0,20.0,33.0,98.0,1634.0,0
86405.76557,2020,골목상권,2110989,대치동아우편취급국,1,0,0,0,0,1,0,0,9,1575,908,444,59,2,306,232,96,26,6,3,133641,96225.0,75905.0,7,267.0,23.0,1531.0,1214.0,598.0,358.0,72.0,581.0,0
78996.98535,2020,골목상권,2110992,도곡초등학교,1,0,0,0,0,1,0,0,18,8040,3724,2179,203,18,727,607,317,115,78,65,519625,259506.8,275067.0,8,438.0,39.0,1437.0,1175.0,703.0,299.0,289.0,2447.0,0
47709.76923,2020,골목상권,2110994,개포고등학교,1,0,0,0,0,1,0,0,6,1706,744,494,54,3,101,106,56,31,2,22,196928,83572.4,84549.0,17,56.0,3.0,101.0,106.0,56.0,31.0,2.0,1998.0,0
35593.65568,2020,골목상권,2110995,봉은사역 4번,1,0,0,0,0,1,0,0,3,2888,1115,5085,70,1,58,47,25,43,75,644,148306,81447.0,76941.5,7,130.0,1.0,90.0,128.0,75.0,121.0,137.0,3153.0,0
52810.58608,2020,골목상권,2110996,대치2동주민센터,1,0,0,0,0,1,0,0,3,1545,729,1959,92,0,39,67,112,103,152,254,156870,107049.8,98040.0,4,213.0,11.0,283.0,411.0,292.0,187.0,251.0,3437.0,3
188701.8599,2020,골목상권,2110997,대청초등학교,1,0,0,0,0,1,0,0,24,7401,3439,1724,121,1,177,379,105,30,36,11,899751,388234.2,378576.5,51,159.0,1.0,280.0,990.0,573.0,399.0,272.0,876.0,7721
222523.3993,2020,골목상권,2110999,윗방죽마을공원,1,0,0,0,0,1,0,0,6,3125,2339,268,2,0,1,9,6,1,0,0,31529,16159.4,17144.0,4,13.0,0.0,1.0,50.0,193.0,286.0,393.0,1363.0,3133
0.0,2020,골목상권,2111000,대왕초등학교(세곡동사거리서남측),1,0,0,0,0,1,0,0,3,458,199,39,0,0,0,0,0,0,0,0,3537,9192.2,8739.5,5,3.0,0.0,0.0,41.0,118.0,222.0,298.0,222.0,603
0.0,2020,골목상권,2111002,한국교통안전공단 강남자동차검사소,1,0,0,0,0,1,0,0,3,317,0,317,0,0,0,0,0,0,0,0,0,10.8,78.0,3,,,,,,,,,570
175753.2619,2020,골목상권,2110949,한남IC,1,0,0,0,0,0,1,0,6,618,300,1683,5,0,5,17,8,10,7,65,81074,59781.2,51582.0,2,57.0,5.0,259.0,163.0,64.0,52.0,42.0,1802.0,0
112557.9341,2020,골목상권,2110951,신사은행나무공원,1,0,0,0,0,0,1,0,3,1039,580,273,16,5,76,41,9,5,3,22,130109,87944.8,70970.0,2,108.0,11.0,436.0,309.0,119.0,81.0,68.0,109.0,0
150574.3663,2020,골목상권,2110952,논현목련공원,1,0,0,0,0,0,1,0,3,879,583,117,27,1,131,89,23,8,2,3,72026,35001.8,34551.5,2,173.0,24.0,780.0,964.0,124.0,151.0,82.0,138.0,0
30195.31502,2020,골목상권,2110954,국기원,1,0,0,0,0,0,1,0,3,497,335,636,3,0,28,2,3,0,0,1,46303,65280.6,60065.5,3,52.0,6.0,285.0,226.0,67.0,49.0,50.0,68.0,0
218306.5714,2020,골목상권,2110955,논현초등학교,1,0,0,0,0,0,1,0,30,7080,4369,3430,175,41,975,495,132,140,68,107,709538,396475.0,366748.5,10,398.0,76.0,2312.0,1553.0,325.0,262.0,204.0,286.0,0
181537.7179,2020,골목상권,2110957,언북중학교,1,0,0,0,0,0,1,0,6,1816,1116,1251,51,1,145,166,105,44,40,31,179300,156722.4,100815.5,8,93.0,11.0,262.0,566.0,128.0,51.0,84.0,193.0,0
122343.3333,2020,골목상권,2110958,역삼역 4번,1,0,0,0,0,0,1,0,3,858,528,994,29,6,161,60,19,6,27,11,66614,72654.2,42943.5,9,121.0,26.0,741.0,493.0,157.0,86.0,50.0,36.0,0
42585.68132,2020,골목상권,2110959,신구중학교,1,0,0,0,0,0,1,0,3,365,166,271,2,0,0,0,0,0,26,56,21486,19822.6,14757.5,8,57.0,9.0,90.0,59.0,58.0,47.0,122.0,395.0,0
94401.8022,2020,골목상권,2110960,은광여고,1,0,0,0,0,0,1,0,3,719,417,1522,16,22,125,28,4,23,3,34,29259,16437.8,14330.5,4,89.0,49.0,549.0,384.0,94.0,179.0,50.0,700.0,0
124104.8114,2020,골목상권,2110961,언주역 3번,1,0,0,0,0,0,1,0,6,2169,1298,962,52,0,217,168,85,41,19,82,139886,119568.4,88421.5,3,182.0,23.0,870.0,832.0,197.0,156.0,114.0,936.0,0
49563.4359,2020,골목상권,2110963,역삼월드메르디앙아파트,1,0,0,0,0,0,1,0,3,1724,847,780,43,3,184,115,87,10,30,114,127310,62226.4,55935.0,1,176.0,56.0,774.0,784.0,339.0,191.0,133.0,1148.0,0
128602.7967,2020,골목상권,2110965,언주역 6번,1,0,0,0,0,0,1,0,6,2309,1512,1139,64,26,366,202,48,44,7,1,169546,127942.4,98625.5,2,217.0,58.0,1311.0,770.0,228.0,113.0,63.0,398.0,0
94191.66758,2020,골목상권,2110966,논현2동주민센터,1,0,0,0,0,0,1,0,4,2887,1539,1637,60,28,154,199,70,147,192,53,293277,268883.2,189737.0,9,99.0,32.0,241.0,295.0,117.0,171.0,234.0,1417.0,0
240980.7521,2020,골목상권,2110967,역삼역 8번,1,0,0,0,0,0,1,0,9,1307,877,377,32,7,213,85,43,8,17,6,130901,99930.2,71507.5,7,197.0,56.0,1256.0,699.0,222.0,112.0,54.0,23.0,0
371924.0525,2020,골목상권,2110971,선정릉역 4번,1,0,0,0,0,0,1,0,9,3836,2425,1542,130,41,815,550,128,40,27,36,208909,129777.4,105131.5,7,332.0,90.0,1823.0,1232.0,398.0,213.0,137.0,559.0,0
16845.64103,2020,골목상권,2110972,강남세브란스병원미래의학연구센터,1,0,0,0,0,0,1,0,3,1995,1013,2628,56,2,250,123,180,62,11,2,68570,33722.4,30993.0,2,201.0,43.0,860.0,616.0,432.0,243.0,105.0,1194.0,0
111817.1337,2020,골목상권,2110974,언주중학교,1,0,0,0,0,0,1,0,6,1479,770,292,57,6,206,166,43,19,10,85,184523,105949.0,95156.5,2,203.0,32.0,803.0,609.0,178.0,84.0,42.0,1744.0,0
119627.3718,2020,골목상권,2110975,매봉역 1번,1,0,0,0,0,0,1,0,6,944,361,10837,25,2,22,46,17,9,24,130,56061,40955.8,39348.0,11,60.0,38.0,56.0,62.0,44.0,36.0,50.0,1721.0,9023
47249.66484,2020,골목상권,2110976,언북초등학교,1,0,0,0,0,0,1,0,6,2011,1046,578,52,0,99,133,75,92,46,31,180128,118187.8,105511.0,2,123.0,22.0,360.0,242.0,345.0,197.0,124.0,1557.0,0
53973.4359,2020,골목상권,2110977,논현로18길,1,0,0,0,0,0,1,0,9,707,335,148,14,3,35,56,14,0,0,0,33211,20432.0,17445.0,0,192.0,63.0,578.0,709.0,455.0,36.0,50.0,20.0,0
57026.40659,2020,골목상권,2110980,개포지구대옆,1,0,0,0,0,0,1,0,3,2707,1114,663,75,14,155,238,188,20,49,15,140237,77960.2,67762.5,2,199.0,53.0,564.0,688.0,394.0,72.0,58.0,445.0,0
125653.4799,2020,골목상권,2110981,국악고교사거리,1,0,0,0,0,0,1,0,9,2105,876,361,52,14,128,232,153,12,4,0,143475,76077.0,72953.5,7,301.0,87.0,1056.0,1138.0,657.0,93.0,29.0,4.0,569
163445.8242,2020,골목상권,2110983,국립국악고등학교,1,0,0,0,0,0,1,0,3,2836,1257,783,65,10,190,223,121,44,9,5,125206,61956.4,58735.5,4,232.0,55.0,660.0,823.0,528.0,68.0,48.0,74.0,0
62985.95513,2020,골목상권,2110984,포이초등학교(개포목련어린이공원),1,0,0,0,0,0,1,0,12,4522,1948,1556,107,30,399,353,203,44,16,34,322638,135608.4,131667.5,14,246.0,56.0,864.0,884.0,564.0,117.0,32.0,198.0,204
178933.9414,2020,골목상권,2110985,청담근린공원,1,0,0,0,0,0,1,0,3,980,472,1338,27,0,21,42,45,27,6,98,73633,47333.2,41525.0,1,71.0,0.0,34.0,160.0,103.0,60.0,74.0,1718.0,0
68559.49084,2020,골목상권,2110988,청담역 3번,1,0,0,0,0,0,1,0,3,1340,480,1594,19,0,0,4,5,19,12,305,35463,27747.0,26977.0,5,51.0,2.0,43.0,114.0,20.0,33.0,98.0,1634.0,0
97075.72039,2020,골목상권,2110989,대치동아우편취급국,1,0,0,0,0,0,1,0,9,1575,908,444,59,2,306,232,96,26,6,3,127669,88693.0,71351.0,7,267.0,23.0,1531.0,1214.0,598.0,358.0,72.0,581.0,0
90904.48779,2020,골목상권,2110992,도곡초등학교,1,0,0,0,0,0,1,0,18,8040,3724,2179,203,18,727,607,317,115,78,65,484082,251094.8,279559.0,8,438.0,39.0,1437.0,1175.0,703.0,299.0,289.0,2447.0,0
37018.18681,2020,골목상권,2110994,개포고등학교,1,0,0,0,0,0,1,0,6,1706,744,494,54,3,101,106,56,31,2,22,194130,88556.2,86335.0,17,56.0,3.0,101.0,106.0,56.0,31.0,2.0,1998.0,0
43051.22344,2020,골목상권,2110995,봉은사역 4번,1,0,0,0,0,0,1,0,3,2888,1115,5085,70,1,58,47,25,43,75,644,156621,85648.2,86189.5,7,130.0,1.0,90.0,128.0,75.0,121.0,137.0,3153.0,1
49571.69963,2020,골목상권,2110996,대치2동주민센터,1,0,0,0,0,0,1,0,3,1545,729,1959,92,0,39,67,112,103,152,254,161196,106971.2,102566.0,4,213.0,11.0,283.0,411.0,292.0,187.0,251.0,3437.0,0
198618.1424,2020,골목상권,2110997,대청초등학교,1,0,0,0,0,0,1,0,23,7401,3439,1724,121,1,177,379,105,30,36,11,888592,387679.2,372152.5,51,159.0,1.0,280.0,990.0,573.0,399.0,272.0,876.0,8370
222434.5733,2020,골목상권,2110999,윗방죽마을공원,1,0,0,0,0,0,1,0,6,3125,2339,268,2,0,1,9,6,1,0,0,22007,12023.4,13420.0,4,13.0,0.0,1.0,50.0,193.0,286.0,393.0,1363.0,2608
0.0,2020,골목상권,2111000,대왕초등학교(세곡동사거리서남측),1,0,0,0,0,0,1,0,3,458,199,39,0,0,0,0,0,0,0,0,3589,9000.4,8607.0,5,3.0,0.0,0.0,41.0,118.0,222.0,298.0,222.0,637
0.0,2020,골목상권,2111002,한국교통안전공단 강남자동차검사소,1,0,0,0,0,0,1,0,3,317,0,317,0,0,0,0,0,0,0,0,0,30.0,102.0,3,,,,,,,,,505
176096.4475,2020,골목상권,2110949,한남IC,1,0,0,0,0,0,0,1,6,618,300,1683,5,0,5,17,8,10,7,65,68563,53751.8,45365.0,2,57.0,5.0,259.0,163.0,64.0,52.0,42.0,1802.0,0
126471.4457,2020,골목상권,2110951,신사은행나무공원,1,0,0,0,0,0,0,1,3,1039,580,273,16,5,76,41,9,5,3,22,132250,88243.0,72550.0,2,108.0,11.0,436.0,309.0,119.0,81.0,68.0,109.0,0
149246.779,2020,골목상권,2110952,논현목련공원,1,0,0,0,0,0,0,1,3,879,583,117,27,1,131,89,23,8,2,3,63079,31289.2,31007.0,2,173.0,24.0,780.0,964.0,124.0,151.0,82.0,138.0,0
31144.86594,2020,골목상권,2110954,국기원,1,0,0,0,0,0,0,1,3,497,335,636,3,0,28,2,3,0,0,1,49829,68773.2,63416.0,3,52.0,6.0,285.0,226.0,67.0,49.0,50.0,68.0,0
266085.7444,2020,골목상권,2110955,논현초등학교,1,0,0,0,0,0,0,1,29,7080,4369,3430,175,41,975,495,132,140,68,107,718388,412457.8,380383.0,10,398.0,76.0,2312.0,1553.0,325.0,262.0,204.0,286.0,0
206127.1594,2020,골목상권,2110957,언북중학교,1,0,0,0,0,0,0,1,6,1816,1116,1251,51,1,145,166,105,44,40,31,174285,149910.0,98264.5,8,93.0,11.0,262.0,566.0,128.0,51.0,84.0,193.0,0
150332.5688,2020,골목상권,2110958,역삼역 4번,1,0,0,0,0,0,0,1,3,858,528,994,29,6,161,60,19,6,27,11,66041,68305.8,41353.5,9,121.0,26.0,741.0,493.0,157.0,86.0,50.0,36.0,0
34016.88768,2020,골목상권,2110959,신구중학교,1,0,0,0,0,0,0,1,3,365,166,271,2,0,0,0,0,0,26,56,18745,18927.0,14121.5,8,57.0,9.0,90.0,59.0,58.0,47.0,122.0,395.0,0
108198.6558,2020,골목상권,2110960,은광여고,1,0,0,0,0,0,0,1,3,719,417,1522,16,22,125,28,4,23,3,34,28094,15853.8,13967.5,4,89.0,49.0,549.0,384.0,94.0,179.0,50.0,700.0,0
117854.308,2020,골목상권,2110961,언주역 3번,1,0,0,0,0,0,0,1,6,2169,1298,962,52,0,217,168,85,41,19,82,155417,128248.2,97907.0,3,182.0,23.0,870.0,832.0,197.0,156.0,114.0,936.0,0
72230.90217,2020,골목상권,2110963,역삼월드메르디앙아파트,1,0,0,0,0,0,0,1,3,1724,847,780,43,3,184,115,87,10,30,114,125411,62460.8,56080.0,1,176.0,56.0,774.0,784.0,339.0,191.0,133.0,1148.0,0
154421.9384,2020,골목상권,2110965,언주역 6번,1,0,0,0,0,0,0,1,6,2309,1512,1139,64,26,366,202,48,44,7,1,170160,127219.6,99961.0,2,217.0,58.0,1311.0,770.0,228.0,113.0,63.0,398.0,0
87916.22554,2020,골목상권,2110966,논현2동주민센터,1,0,0,0,0,0,0,1,4,2887,1539,1637,60,28,154,199,70,147,192,53,284661,267166.2,188422.0,9,99.0,32.0,241.0,295.0,117.0,171.0,234.0,1417.0,0
266156.4263,2020,골목상권,2110967,역삼역 8번,1,0,0,0,0,0,0,1,9,1307,877,377,32,7,213,85,43,8,17,6,128353,98576.0,72275.5,7,197.0,56.0,1256.0,699.0,222.0,112.0,54.0,23.0,0
